strain_i,strain_j,meta_r,clade_i,clade_j,pair_type
AMP,CCG,0.08493138323391143,M1. Mosaic region 1,21. Ecuadorean,Different clade
AMP,CCN,0.053138208788990546,M1. Mosaic region 1,18. Far East Asia,Different clade
AMP,CCQ,0.09276046522158701,M1. Mosaic region 1,18. Far East Asia,Different clade
AMP,CCR,0.08356822257241846,M1. Mosaic region 1,18. Far East Asia,Different clade
AMP,CCS,0.07585195157563052,M1. Mosaic region 1,18. Far East Asia,Different clade
AMP,CCV,0.05814497125497112,M1. Mosaic region 1,24. Asian islands,Different clade
AMP,CDE,0.06328747273610802,M1. Mosaic region 1,M3. Mosaic region 3,Different clade
AMP,CDL,0.08818760441964724,M1. Mosaic region 1,18. Far East Asia,Different clade
AMP,CDT,0.08576588147994832,M1. Mosaic region 1,2. Alpechin,Different clade
AMP,CEG,0.06846310310732523,M1. Mosaic region 1,17. Taiwanese,Different clade
AMP,CFF,0.10902266233895612,M1. Mosaic region 1,7. Mosaic beer,Different clade
AMP,CGL,0.1105154181657867,M1. Mosaic region 1,26. Asian fermentation,Different clade
AMP,CGN,0.13550551681236075,M1. Mosaic region 1,26. Asian fermentation,Different clade
AMP,CGS,0.12353750992524724,M1. Mosaic region 1,1. Wine/European,Different clade
AMP,CLB,0.07599100363089487,M1. Mosaic region 1,4. Mediterranean oak,Different clade
AMP,CLI,0.11085442034680046,M1. Mosaic region 1,25. Sake,Different clade
AMP,CLN,0.051495716159893026,M1. Mosaic region 1,25. Sake,Different clade
AMP,CLP,0.08883768671853093,M1. Mosaic region 1,25. Sake,Different clade
AMP,CMI,0.04887487789382637,M1. Mosaic region 1,25. Sake,Different clade
AMP,CPI,0.08974130159565048,M1. Mosaic region 1,9. Mexican agave,Different clade
AMP,CPK,0.08304437580051921,M1. Mosaic region 1,9. Mexican agave,Different clade
AMP,CPN,0.05494961426259922,M1. Mosaic region 1,9. Mexican agave,Different clade
AMP,CQD,0.054936138411051355,M1. Mosaic region 1,12. West African cocoa,Different clade
AMP,CQF,0.09865568879900849,M1. Mosaic region 1,12. West African cocoa,Different clade
AMP,SACE_YCE,0.05092413647165829,M1. Mosaic region 1,M3. Mosaic region 3,Different clade
AMP,SACE_YCK,0.023947514830246326,M1. Mosaic region 1,26. Asian fermentation,Different clade
AMP,SACE_YCM,0.01118093429082662,M1. Mosaic region 1,24. Asian islands,Different clade
AMP,SACE_YCR,0.08535659908687267,M1. Mosaic region 1,18. Far East Asia,Different clade
